repo,pr_number,titulo,descricao,categoria
helix,1875,Fix adding a task to a job after deleting old tasks,"Issues

 My PR addresses the following Helix issues and references them in the PR description:
Fixes #1874

Description

 Here are some details about my PR, including screenshots of any UI changes:

In this PR, the issue of dynamically adding a task to a job which some of its tasks has been deleted before is being addressed.
Tests


 The following tests are written for this issue:
TestAddDeleteTask.testDeleteMiddleTaskAndAdd


 The following is the result of the ""mvn test"" command on the appropriate module:
Helix-core:


[INFO] Tests run: 1284, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 5,522.236 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 1284, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] 
[INFO] --- jacoco-maven-plugin:0.8.6:report (generate-code-coverage-report) @ helix-core ---
[INFO] Loading execution data file /home/anajari/my_repos/helix/helix-core/target/jacoco.exec
[INFO] Analyzed bundle 'Apache Helix :: Core' with 909 classes
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  01:32 h
[INFO] Finished at: 2021-09-16T08:47:28-07:00
[INFO] ------------------------------------------------------------------------

Helix-rest:
[INFO] Tests run: 179, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 126.955 s - in TestSuite
[INFO] 
[INFO] Results:
[INFO] 
[INFO] Tests run: 179, Failures: 0, Errors: 0, Skipped: 0
[INFO] 
[INFO] 
[INFO] --- jacoco-maven-plugin:0.8.6:report (generate-code-coverage-report) @ helix-rest ---
[INFO] Loading execution data file /home/anajari/my_repos/helix/helix-rest/target/jacoco.exec
[INFO] Analyzed bundle 'Apache Helix :: Restful Interface' with 79 classes
[INFO] ------------------------------------------------------------------------
[INFO] BUILD SUCCESS
[INFO] ------------------------------------------------------------------------
[INFO] Total time:  02:14 min
[INFO] Finished at: 2021-09-16T09:38:30-07:00
[INFO] ------------------------------------------------------------------------

Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
accumulo,4185,clean up AddressUtil.parseAddress usage,"The utility AddressUtil,parseAddress() had a boolean parameter to allowed addresses to be created without a port. Other than another utility method that allows setting the default port the value was always false (required port)  This PR removes the boolean from the method signature.
Discovered this while trying to use HostAndPort in favor of strings where possible.  Submitting this a separate PR because it is stand-alone change that is easier to review.",REF
commons-lang,1148,Address minor redundancies after code inspection,This time the focus is on unnecessary string concatenation and redundant local assignments.,REF
accumulo,2126,Unit test converting client props to BatchWriterConfig,"Created two unit tests for the conversion of client properties to BatchWriterConfig. One using default values and another using modified values.
Refactored getBatchWriterConfig as suggested in initial ticket.
Added code in getBatchWriterConfig to allow for updating BATCH_WRTIER_THREADS_MAX as it was missing in the method as it existed.",REF
accumulo,4272,Ensured that TabletMgmtStats are incremented in TabletGroupWatcher,Fixes #4233,BUG
struts,531,[WW-5168] Support submit unchecked in Javatemplates and fixes logic for FTL template,"Fixes WW-5168
Closes #530",BUG
accumulo,3664,change exit error code for ZooPropEditor,Changed exit status ( From comment in PR #3620 ),BUG
accumulo,4085,Use LogEntry concrete type in more places,"Track the actual column qualifier read from the metadata table, so when it is deleted, it can delete the actual entry, rather than try to delete the existing entry with the new format (requires no longer strictly requiring that log entries start with a -/). This fixes #4061 for the main branch for 3.1; a similar issue may still exist for 2.1, but will require a different fix.
Remove use of Collection<Collection<String>> and use Collection<LogEntry> where possible, since the former was for a previous WAL storage format that we do not support, and the latter preserves the strongly-typed LogEntry in more places",REF
accumulo,2178,Catch NoNodeException in CompactRange,"Fixes #1919
It is possible for a compaction to run after a table is deleted so
catch the exception and print to debug, avoiding the FATE warning",BUG
zookeeper,1915,ZOOKEEPER-4607 : Fix decode problem when sub tnx type is error.,"If there is a -101 error in the multi txn, the error byte array is {-1, -1, -1, -101}.
In the TxnLogToolkit, it uses toString to decode, it will decode it to the unknown character.
Before:
session 0x1000017f0b701dc cxid 0x1 zxid 0x3208 multi error:����;error:����;error:����

After:
session 0x1000017f0b701dc cxid 0x1 zxid 0x3208 multi error:-101;error:-2;error:-2",BUG
accumulo,4104,"Fix HTML headings in javadoc, change from h3 to h4",,BUG
accumulo,2335,"Deprecate replication classes, properties, etc.",,REF
accumulo,1833,Fixes #1760 - `listcompactions` command error is not helpful,Fixing issue #1760. Adding more helpful error messages for the listcompactions command when a tserver address is passed.,BUG
helix,1846,Fix management mode history duplicate recording,"Issues

 My PR addresses the following Helix issues and references them in the PR description:

Fixed #1845
Description

 Here are some details about my PR, including screenshots of any UI changes:

The management mode history has duplicate entries. It does not impact the normal function, but it's good to get it fixed to avoid confusion.
Enable cluster freeze mode in a staging cluster. Because of multiple events(live instance change events), the management mode pipeline could be run multiple times. Then the same mode history is recorded multiple times.
 ""MANAGEMENT_MODE_HISTORY"": [
      ""{STATUS=COMPLETED, CONTROLLER=host1, MODE=CLUSTER_FREEZE, FROM_HOST=host2, TIME=2021-08-18T20:58:51.659Z}"",
      ""{STATUS=COMPLETED, CONTROLLER=host1, MODE=CLUSTER_FREEZE, FROM_HOST=host2, TIME=2021-08-18T21:02:08.893Z}"",
      ""{STATUS=COMPLETED, CONTROLLER=host1, MODE=CLUSTER_FREEZE, FROM_HOST=host2, TIME=2021-08-18T21:09:03.659Z}"",
      ""{STATUS=COMPLETED, CONTROLLER=host1, MODE=CLUSTER_FREEZE, FROM_HOST=host2 TIME=2021-08-18T21:13:03.660Z}

Tests

 The following tests are written for this issue:

TestManagementModeStage
TestClusterFreezeMode

The following is the result of the ""mvn test"" command on the appropriate module:

12:45:13,985 [INFO] Results:
12:45:13,985 [INFO]
12:45:13,985 [ERROR] Failures:
12:45:13,985 [ERROR]   TestZeroReplicaAvoidance.testWagedRebalancer:182 expected:<true> but was:<false>
12:45:13,985 [INFO]
12:45:13,985 [ERROR] Tests run: 1282, Failures: 1, Errors: 0, Skipped: 0
12:45:13,986 [INFO]
12:45:13,991 [INFO] ------------------------------------------------------------------------
12:45:13,992 [INFO] BUILD FAILURE
12:45:13,992 [INFO] ------------------------------------------------------------------------
12:45:13,993 [INFO] Total time:  01:21 h
12:45:13,993 [INFO] Finished at: 2021-08-23T12:45:13-07:00
12:45:13,993 [INFO] ------------------------------------------------------------------------


13:50:28,577 [INFO] Tests run: 20, Failures: 0, Errors: 0, Skipped: 0, Time elapsed: 31.701 s - in TestSuite
13:50:28,962 [INFO]
13:50:28,962 [INFO] Results:
13:50:28,963 [INFO]
13:50:28,963 [INFO] Tests run: 20, Failures: 0, Errors: 0, Skipped: 0
13:50:28,963 [INFO]
13:50:28,967 [INFO]
13:50:28,968 [INFO] --- jacoco-maven-plugin:0.8.6:report (generate-code-coverage-report) @ helix-core ---
13:50:29,003 [INFO] Loading execution data file /home/hulu/Projects/helix/helix-core/target/jacoco.exec
13:50:29,473 [INFO] Analyzed bundle 'Apache Helix :: Core' with 909 classes
13:50:30,936 [INFO] ------------------------------------------------------------------------
13:50:30,936 [INFO] BUILD SUCCESS
13:50:30,937 [INFO] ------------------------------------------------------------------------
13:50:30,938 [INFO] Total time:  37.736 s
13:50:30,938 [INFO] Finished at: 2021-08-23T13:50:30-07:00
13:50:30,939 [INFO] ------------------------------------------------------------------------

Changes that Break Backward Compatibility (Optional)

My PR contains changes that break backward compatibility or previous assumptions for certain methods or API. They include:

(Consider including all behavior changes for public methods or API. Also include these changes in merge description so that other developers are aware of these changes. This allows them to make relevant code changes in feature branches accounting for the new method/API behavior.)
Documentation (Optional)

In case of new functionality, my PR adds documentation in the following wiki page:

(Link the GitHub wiki you added)
Commits

My commits all reference appropriate Apache Helix GitHub issues in their subject lines. In addition, my commits follow the guidelines from ""How to write a good git commit message"":

Subject is separated from body by a blank line
Subject is limited to 50 characters (not including Jira issue reference)
Subject does not end with a period
Subject uses the imperative mood (""add"", not ""adding"")
Body wraps at 72 characters
Body explains ""what"" and ""why"", not ""how""



Code Quality

My diff has been formatted using helix-style.xml
(helix-style-intellij.xml if IntelliJ IDE is used)",BUG
